Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
SCN2B	10589	6327	Atrial fibrillation, familial 14	AD	Adult		Cardiovascular	Cardiovascular		In Atrial fibrillation, surveillance (eg, with echocardiogram and electrocardiogram) may allow early management, which may be beneficial	19808477
SCN3B	20665	55800	Brugada syndrome 7	AD	Adult		Cardiovascular	Cardiovascular; Pharmacogenomic		Surveillance with approximately yearly EKG and medical interventions, including daily quinidine for prevention (though treatment of asymptomatic individuals is controversial), ICD placement in individuals with previous cardiac arrest/syncope, and isoproterenol for electrical storms, may be beneficial;  Certain agents should be avoided, including medications such as certain anesthetics, antidepressants, and antipsychotics, and care should be taken in the instance of high fever	20031595; 20301690 
SCN4A	10591	6329	Paramyotonia congenita; Hyperkalemic periodic paralysis, type 2; Hypokalemic periodic paralysis, type 2; Normokalemic potassium-sensitive periodic paralysis; Malignant hyperthermia, susceptibility to; Myasthenic syndrome, congenital, acetazalomide-responsive (AR); Myotonia, potassium-aggravated	AD/AR	Pediatric		Cardiovascular; Musculoskeletal; Neurologic	Cardiovascular; Musculoskeletal; Neurologic; Pharmacogenomic	Clinically, allelic conditions have been divided into different forms of the disorder: paramyotonia, potassium-aggravated myotonia, and periodic paralysis; Potassium-aggravated myotonia includes mild myotonia fluctuans, severe myotonia permanens, and acetazolamide-responsive myotonia	In hypokalemic disease, treatment, such as potassium supplementation can be effective; Acetazolamide treatment is beneficial in the majority (including with normokalemic and hyperkalemic disease), but in a lower proportion of mutation-negative patients; Individuals can have cardiac complications, including sudden cardiac death; In Paramyotonia congenita, medications (eg, mexilitene, carbamazepine, phenytoin) may be effect in some individuals, and avoidance and specific preciptating circumstances may be beneficial; Myotonia, potassium-aggravated can be aggravated by potassium and fasting, and effectively treated with medications (eg, acetazolamide, carbamazepine, mexilitene); In Malignant hyperthermia, early diagnosis, discontinuation of potent inhalation agents/succinylcholine, treatment of metabolic abnormalities, and administration of dantrolene sodium intravenously are essential to  treat acute MH; In Myasthenic syndrome, congenital, acetazalomide-responsive, pyridostigmine can improve endurance; Acetazolamide can prevent further attacks of respiratory and bulbar weakness	13544644; 13758355; 13963901; 13946346; 14090531; 5828532; 14237771; 673408; 852462; 4022357; 3587272; 2396930; 1654742; 1310898; 1338909; 1316765; 8424309; 8385748; 8242056; 8308722; 8058156; 7741283; 9131651; 9131654; 10599760; 10369308; 10930446; 10727489; 12933953; 12766226; 15534250; 15557532; 15596759; 15642860; 16832098; 16786525; 17998485; 18203179; 19015492; 19015483; 18337100; 19118277; 20237798; 20301512; 20301669; 20713951; 21220685; 22617007; 23460624; 23516313; 23771340; 23801527; 23958773; 24082935
SCN4B	10592	6330	Long QT syndrome 10	AD	Pediatric		Cardiovascular	Cardiovascular		Surveillance and medical management related to arrhythmias may be helpful to help decrease morbidity	17592081; 20301308 
SCN5A	10593	6331	Atrial fibrillation, familial 10; Long QT syndrome 3; Idiopathic ventricular fibrillation; Heart block, progressive, type IA; Heart block, nonprogressive; Sick sinus syndrome 1, autosomal recessive; Cardiomyopathy, dilated, 1E; Brugada syndrome 1	AD/AR/Digenic	Pediatric		Cardiovascular	Cardiovascular; Pharmacogenomic	The inheriatance of conditions such as LQTS and Atrial standstill may involve other genes, such as GJA5	For AF, medical/preventive management may decrease morbidity; In SSS in pediatric patients, treatment of associated exercise intolerance, presyncope or syncope, typically requires lifelong cardiac pacing; For dysrhthymia-related phenotypes, surveillance and preventive/treatment measures (eg, in LQTS3: beta-blockers, pacemakers, or ICD; In CMD1E: permanent pacing is required in most individuals; Brugada syndrome: ICDs ) can decrease morbidity/mortality; For progressive/nonprogressive heart block, surveillance can allow timely treatment (eg, with pacemaker);  Certain agents should be avoided, including medications such as certain anesthetics, antidepressants, and antipsychotics, and care should be taken in the instance of high fever	3953067;  8541846; 7889574; 9521325; 10590249; 10471492; 10940383; 10911008; 11748104; 11901046; 11823453; 14523039; 12574143; 12522116; 15466643; 15051636; 15671429; 15840476; 16922724; 16453024; 17038146; 18599870; 18378609; 19122847; 18451998; 18503232; 20025708; 20301690 
SCN8A	10596	6334	Cognitive impairment with or without cerebellar ataxia; Epileptic encephalopathy, early infantile, 13	AD	N/A	N/A	Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	16236810; 22365152 
SCN9A	10597	6335	Paroxysmal extreme pain disorder	AD/AR	Pediatric	Allelic with Small fiber neuropathy (AD);  Erythermalgia, primary (AD); Insensitivity to pain, channelopathy-associated (AR)	Dermatologic; Neurologic	Neurologic	Many treatments have been attempted (with inconsistent success) in Erythermalgia, primary, and some have been described by patients as providing subjective relief from symptoms; Congenital insensitivity to pain can result in injuries, some of which may in theory be preventable with early diagnosis and preventive measures	Individuals with Paroxysmal extreme pain disorder may respond to medical therapy (eg, carbamazepine) 	13636703; 4111621; 4112340; 1536168; 10724194; 14985375;  15958509; 16216943; 17167479; 17145499; 17679678; 17470132; 19304393; 19763161; 21441906; 21698661
SCNN1A	10599	6337	Pseudohypoaldosteronism, type I; Bronchiectasis with or without elevated sweat chloride 2	AR/Digenic (with CFTR or other SCCN1 genes)	Pediatric		Allergy/Immunology/Infectious; Pulmonary; Renal	Allergy/Immunology/Infectious; Pulmonary; Renal		In Pseudohypoaldosteronism, type I, treatment with electrolyte replacement and control of hyperkalemia can be effective; In Bronchiectasis with or without elevated sweat chloride 2, as in cystic fibrosis, early and aggressive pulmonary and other management (eg, related to prophylaxis and management of respiratory infections) may decrease morbidity	8589714; 9654209; 10202170; 9462466; 19017867
SCNN1B	10600	6338	Pseudohypoaldosteronism, type I; Liddle syndrome; Bronchiectasis with or without elevated sweat chloride 3	AR/Digenic (with CFTR or other SCCN1 genes)	Pediatric		Allergy/Immunology/Infectious; Pulmonary; Renal	Allergy/Immunology/Infectious; Pulmonary; Renal		In Liddle syndrome, certain medications (eg, amiloride, triamterene, but not spironolactone) and dietary sodium restriction can effectively treat hypertension and hypokalemia; In Pseudohypoaldosteronism, type I, treatment with electrolyte replacement and control of hyperkalemia can be effective; In Bronchiectasis with or without elevated sweat chloride 1, as in cystic fibrosis, early and aggressive pulmonary and other management (eg, related to prophylaxis and management of respiratory infections) may decrease morbidity	7046191; 6262354; 3550146; 264740; 7954808; 8524790; 8589714; 10202170; 16207733; 18507830; 19017867
SCNN1G	10602	6340	Pseudohypoaldosteronism, type I; Liddle syndrome; Bronchiectasis with or without elevated sweat chloride 3	AR/Digenic (with CFTR or other SCCN1 genes)	Pediatric		Allergy/Immunology/Infectious; Pulmonary; Renal	Allergy/Immunology/Infectious; Pulmonary; Renal		In Liddle syndrome, certain medications (eg, amiloride, triamterene, but not spironolactone) and dietary sodium restriction can effectively treat hypertension and hypokalemia; In Pseudohypoaldosteronism, type I, treatment with electrolyte replacement and control of hyperkalemia can be effective; In Bronchiectasis with or without elevated sweat chloride 3, as in cystic fibrosis, early and aggressive pulmonary and other management (eg, related to prophylaxis and management of respiratory infections) may decrease morbidity	7046191; 3550146; 3550146; 7550319; 8640238; 9649551; 10202170; 18507830; 19017867
SCO1	10603	6341	Mitochondrial complex IV deficiency	AR	N/A	N/A	Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Attention deficit-hyperactivity disorder, susceptibility to refers to a susceptibility locus and/or evidence or clinical applicability unclear	11013136; ; 22231385   
SCO2	10604	9997	Myopia 6; Leigh syndrome; Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency; Hypertrophic cardiomyopathy	AD/AR	N/A	N/A	Biochemical; Cardiovascular; Musculoskeletal; Neurologic; Ophthalmologic	General	In addition to other manifestations, hypertrophic cardiomyopathy has been reported in individuals with bi-allelic mutations	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10545952; 10749987; 12538779; 15210538; 18924171; 22231385; 23364397; 23643385
SCP2	10606	6342	Leukoencephalopathy with dystonia and motor neuropathy	AR	N/A	N/A	Biochemical; Endocrine; Genitourinary; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	16685654
SDCCAG8	10671	10806	Senior-Loken syndrome 7	AR	N/A	N/A	Musculoskeletal; Neurologic; Ophthalmologic; Renal	General	Renal transplant has been described	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	20835237; 22626039
SDHA	10680	6389	Paragangliomas 5; Gastrointestinal stromal tumors	AD	Adult 	Allelic with Cardiomyopathy, dilated, 1GG (AR); Leigh syndrome/Mitochondrial respiratory chain complex II deficiency (AR)	Biochemical; Cardiovascular; Musculoskeletal; Neurologic; Oncologic	Gastrointestinal; Oncologic	In mitochondrial disease, such as Dilated cardiomyopathy, recognition of cardiovascular disease may allow early medical management, which may be helpful to help decrease morbidity; In Leigh syndrome/Mitochondrial respiratory chain complex II deficiency,  medical treatment (eg, with riboflavin, uniquinol) may be beneficial, and individuals may have cardiac involvement such that surveillance may be beneficial	For Parangangliomas, symptoms are reported as resolving after surgical tumor resection; For Gastrointestinal stromal tumors, surveillance may allow early diagnosis and treatment, which may improve outcomes	7550341; 10746566; 12794685; 16737791; 16798039; 20484225; 20551992; 21505157; 22972948
